Title,Movie_Title,Poster_Links,Tag_Line
avatar,Avatar,https://image.tmdb.org/t/p/original/6EiRUJpuoeQPghrs3YNktfnqOVh.jpg,Enter the World of Pandora.
pirates of the caribbean: at world's end,Pirates of the Caribbean: At World's End,https://image.tmdb.org/t/p/original/cVFKkJ8Kcuf9zSUdUNB7iKOm4nh.jpg,"At the end of the world, the adventure begins."
spectre,Spectre,https://image.tmdb.org/t/p/original/672kUEMtTHcaVYSVY4eiHEliHFa.jpg,A Plan No One Escapes
the dark knight rises,The Dark Knight Rises,https://image.tmdb.org/t/p/original/vzvKcPQ4o7TjWeGIn0aGC9FeVNu.jpg,The Legend Ends
star wars: episode vii - the force awakens,Star Wars: The Force Awakens,https://image.tmdb.org/t/p/original/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,Every generation has a story.
john carter,John Carter,https://image.tmdb.org/t/p/original/7GSSyUUgUEXm1rhmiPGSRuKoqnK.jpg,"Lost in our world, found in another."
tangled,Tangled,https://image.tmdb.org/t/p/original/ym7Kst6a4uodryxqbGOxmewF235.jpg,They're taking adventure to new lengths.
avengers: age of ultron,Avengers: Age of Ultron,https://image.tmdb.org/t/p/original/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,A New Age Has Come.
harry potter and the half-blood prince,Harry Potter and the Half-Blood Prince,https://image.tmdb.org/t/p/original/Ag21otqbeynZPGjEbzyr3X5Us0j.jpg,Dark Secrets Revealed
batman v superman: dawn of justice,Batman v Superman: Dawn of Justice,https://image.tmdb.org/t/p/original/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,Justice or revenge
superman returns,Superman Returns,https://image.tmdb.org/t/p/original/ijSsWy2RWxTJzw3UMwFbXkjr5ny.jpg,"On June 30, 2006! Look Up In The Sky!"
quantum of solace,Quantum of Solace,https://image.tmdb.org/t/p/original/5BzOOL7zknsZSUeJwSa9kGuzHCR.jpg,"For love, for hate, for justice, for revenge."
pirates of the caribbean: dead man's chest,Pirates of the Caribbean: Dead Man's Chest,https://image.tmdb.org/t/p/original/l3peI54mf6Z9EBSvS3hnRmOBbFT.jpg,Jack is back!
the lone ranger,The Lone Ranger,https://image.tmdb.org/t/p/original/b2je2ZybNIzAOL1K1WPbbT6zt2M.jpg,Never Take Off the Mask
man of steel,Man of Steel,https://image.tmdb.org/t/p/original/7rIPjn5TUK04O25ZkMyHrGNPgLx.jpg,You will believe that a man can fly.
the chronicles of narnia: prince caspian,The Chronicles of Narnia: Prince Caspian,https://image.tmdb.org/t/p/original/g2fnrbnvynLIMN8954yL8y6ZXsO.jpg,Everything you know is about to change forever.
pirates of the caribbean: on stranger tides,Pirates of the Caribbean: On Stranger Tides,https://image.tmdb.org/t/p/original/8fxendLObfOewRllxiM4X9Ey7S4.jpg,Live Forever Or Die Trying.
men in black 3,Men in Black 3,https://image.tmdb.org/t/p/original/90DdoEStzeObs96fsYf4GG544iN.jpg,They are back... in time.
the hobbit: the battle of the five armies,The Hobbit: The Battle of the Five Armies,https://image.tmdb.org/t/p/original/xT98tLqatZPQApyRmlPL12LtiWp.jpg,Witness the defining chapter of the Middle-Earth saga
the amazing spider-man,The Amazing Spider-Man,https://image.tmdb.org/t/p/original/dQ8TOCYgP9pzQvSb1cmaalYqdb5.jpg,The untold story begins.
robin hood,Robin Hood,https://image.tmdb.org/t/p/original/AiRfixFcfTkNbn2A73qVJPlpkUo.jpg,The legend you know. The story you don't.
the hobbit: the desolation of smaug,The Hobbit: The Desolation of Smaug,https://image.tmdb.org/t/p/original/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg,Beyond darkness... beyond desolation... lies the greatest danger of all.
the golden compass,The Golden Compass,https://image.tmdb.org/t/p/original/lyaS7S4emzEaYUcSnCvyqfJpOcA.jpg,There are worlds beyond our own - the compass will show the way.
titanic,Titanic,https://image.tmdb.org/t/p/original/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,Nothing on Earth could come between them.
captain america: civil war,Captain America: Civil War,https://image.tmdb.org/t/p/original/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,Divided We Fall
battleship,Battleship,https://image.tmdb.org/t/p/original/mXb3hot6ZW4hMfpZSK7UtD70WgM.jpg,The Battle for Earth Begins at Sea
jurassic world,Jurassic World,https://image.tmdb.org/t/p/original/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,The park is open.
spider-man 2,Spider-Man 2,https://image.tmdb.org/t/p/original/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,There's a hero in all of us.
iron man 3,Iron Man 3,https://image.tmdb.org/t/p/original/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,Unleash the power behind the armor.
x-men: the last stand,X-Men: The Last Stand,https://image.tmdb.org/t/p/original/a2xicU8DpKtRizOHjQLC1JyCSRS.jpg,Take a Stand
monsters university,Monsters University,https://image.tmdb.org/t/p/original/y7thwJ7z5Bplv6vwl6RI0yteaDD.jpg,School never looked this scary.
transformers: revenge of the fallen,Transformers: Revenge of the Fallen,https://image.tmdb.org/t/p/original/pLBb0whOzVDtJvyD4DPeQyQNOqp.jpg,Revenge is coming.
transformers: age of extinction,Transformers: Age of Extinction,https://image.tmdb.org/t/p/original/jyzrfx2WaeY60kYZpPYepSjGz4S.jpg,This is not war. It's extinction.
the amazing spider-man 2,The Amazing Spider-Man 2,https://image.tmdb.org/t/p/original/bU7nTmvmy0h3VUP01v1T2imgH6N.jpg,No more secrets.
cars 2,Cars 2,https://image.tmdb.org/t/p/original/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg,Ka-ciao!
green lantern,Green Lantern,https://image.tmdb.org/t/p/original/fj21HwUprqjjwTdkKC1XZurRSpV.jpg,"In our darkest hour, there will be light."
toy story 3,Toy Story 3,https://image.tmdb.org/t/p/original/4cpGytCB0eqvRks4FAlJoUJiFPG.jpg,No toy gets left behind.
terminator salvation,Terminator Salvation,https://image.tmdb.org/t/p/original/gw6JhlekZgtKUFlDTezq3j5JEPK.jpg,The End Begins.
furious 7,Furious 7,https://image.tmdb.org/t/p/original/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg,Vengeance Hits Home
world war z,World War Z,https://image.tmdb.org/t/p/original/1SWBSYJsnyhdNRfLI1T6RsCxAQ4.jpg,Remember Philly!
x-men: days of future past,X-Men: Days of Future Past,https://image.tmdb.org/t/p/original/bvN8iUpHyBIvniUk4e52SUZMA7Z.jpg,"To save the future, they must alter the past"
star trek into darkness,Star Trek Into Darkness,https://image.tmdb.org/t/p/original/Aim3kVNh1MPIxPEFeJrl9e9Uf1a.jpg,Earth Will Fall
