movie_title,cast and crew,Genre,vote_average,vote_count,comb
insidious: the last key,adam robitel leigh whannell lin shaye angus sampson leigh whannell spencer locke caitlin gerard kirk acevedo bruce davison,horror mystery thriller,6.2,1887,adam robitel leigh whannell lin shaye angus sampson leigh whannell spencer locke caitlin gerard kirk acevedo bruce davison horror mystery thriller
the strange ones,lauren wolkstein christopher radcliff alex pettyfer james freedson jackson emily althaus gene jones owen campbell tobias campbell,thriller drama,5.5,56,lauren wolkstein christopher radcliff alex pettyfer james freedson jackson emily althaus gene jones owen campbell tobias campbell thriller drama
stratton,simon west duncan falconer warren davis ii dominic cooper austin stowell gemma chan thomas kretschmann tyler hoechlin tom felton,action thriller,4.9,151,simon west duncan falconer warren davis ii dominic cooper austin stowell gemma chan thomas kretschmann tyler hoechlin tom felton action thriller
sweet country,warwick thornton david tranter steven mcgregor bryan brown sam neill,drama history western,6.7,100,warwick thornton david tranter steven mcgregor bryan brown sam neill drama history western
the commuter,jaume collet serra byron willinger philip de blasi liam neeson vera farmiga patrick wilson jonathan banks elizabeth mcgovern sam neill,action thriller,6.3,3212,jaume collet serra byron willinger philip de blasi liam neeson vera farmiga patrick wilson jonathan banks elizabeth mcgovern sam neill action thriller
proud mary,babak najafi john s newman christian swegal taraji p henson billy brown danny glover neal mcdonough xander berkeley margaret avery,thriller action crime,5.5,337,babak najafi john s newman christian swegal taraji p henson billy brown danny glover neal mcdonough xander berkeley margaret avery thriller action crime
acts of violence,brett donowho nicolas aaron mezzanatto bruce willis cole hauser shawn ashmore melissa bolona mike epps,action,5.8,260,brett donowho nicolas aaron mezzanatto bruce willis cole hauser shawn ashmore melissa bolona mike epps action
freak show,trudie styler patrick j clifton beth rigazio alex lawther abigail breslin bette midler annasophia robb ian nelson lorraine toussaint laverne cox,comedy drama,7.2,78,trudie styler patrick j clifton beth rigazio alex lawther abigail breslin bette midler annasophia robb ian nelson lorraine toussaint laverne cox comedy drama
humor me,sam hoffman jemaine clement elliott gould ingrid michaelson annie potts priscilla lopez bebe neuwirth maria dizzia,comedy,6.4,13,sam hoffman jemaine clement elliott gould ingrid michaelson annie potts priscilla lopez bebe neuwirth maria dizzia comedy
vazante,daniela thomas beto amaral adriano carvalho luana nastas,drama,7.7,14,daniela thomas beto amaral adriano carvalho luana nastas drama
mary and the witch's flower,hiromasa yonebayashi riko sakaguchi ruby barnhill louis ashbourne serkis kate winslet jim broadbent teresa gallagher ewen bremner rasmus hardiker morwenna banks lynda baron,fantasy adventure animation,7.1,487,hiromasa yonebayashi riko sakaguchi ruby barnhill louis ashbourne serkis kate winslet jim broadbent teresa gallagher ewen bremner rasmus hardiker morwenna banks lynda baron fantasy adventure animation
12 strong,nicolai fuglsig peter craig ted tally chris hemsworth michael shannon michael pe a navid negahban trevante rhodes geoff stults thad luckinbill rob riggle william fichtner,war drama action history,6,1971,nicolai fuglsig peter craig ted tally chris hemsworth michael shannon michael pe a navid negahban trevante rhodes geoff stults thad luckinbill rob riggle william fichtner war drama action history
den of thieves,christian gudegast paul scheuring gerard butler cent pablo schreiber o shea jackson jr evan jones dawn olivieri mo mcrae max holloway,action thriller crime,6.7,1874,christian gudegast paul scheuring gerard butler cent pablo schreiber o shea jackson jr evan jones dawn olivieri mo mcrae max holloway action thriller crime
forever my girl,bethany ashton wolf alex roe jessica rothe john benjamin hickey,romance drama music,7.6,769,bethany ashton wolf alex roe jessica rothe john benjamin hickey romance drama music
maze runner: the death cure,wes ball t s nowlin dylan o brien kaya scodelario thomas brodie sangster ki hong lee giancarlo esposito aidan gillen walton goggins barry pepper will poulter patricia clarkson,action science fiction,7.1,5313,wes ball t s nowlin dylan o brien kaya scodelario thomas brodie sangster ki hong lee giancarlo esposito aidan gillen walton goggins barry pepper will poulter patricia clarkson action science fiction
the insult,ziad doueiri joelle touma adel karam camille salameh kamel el basha,comedy crime,6.5,1306,ziad doueiri joelle touma adel karam camille salameh kamel el basha comedy crime
please stand by,ben lewin michael golamco dakota fanning toni collette alice eve,comedy drama,6.8,285,ben lewin michael golamco dakota fanning toni collette alice eve comedy drama
winchester,the spierig brothers helen mirren jason clarke sarah snook angus sampson,fantasy mystery thriller horror,5.9,1311,the spierig brothers helen mirren jason clarke sarah snook angus sampson fantasy mystery thriller horror
a fantastic woman,sebasti n lelio gonzalo maza daniela vega francisco reyes,drama,7.1,478,sebasti n lelio gonzalo maza daniela vega francisco reyes drama
armed,mario van peebles mario van peebles william fichtner ryan guzman columbus short laz alonso,action horror thriller,4.6,79,mario van peebles mario van peebles william fichtner ryan guzman columbus short laz alonso action horror thriller
the cloverfield paradox,julius onah oren uziel doug jung daniel br hl elizabeth debicki aksel hennie gugu mbatha raw chris o dowd john ortiz david oyelowo zhang ziyi,mystery thriller horror science fiction,5.6,2252,julius onah oren uziel doug jung daniel br hl elizabeth debicki aksel hennie gugu mbatha raw chris o dowd john ortiz david oyelowo zhang ziyi mystery thriller horror science fiction
peter rabbit,will gluck rob lieber james corden domhnall gleeson rose byrne daisy ridley margot robbie elizabeth debicki sam neill,animation adventure family,6.7,1080,will gluck rob lieber james corden domhnall gleeson rose byrne daisy ridley margot robbie elizabeth debicki sam neill animation adventure family
fifty shades freed,james foley niall leonard dakota johnson jamie dornan kim basinger eric johnson rita ora luke grimes victor rasuk jennifer ehle marcia gay harden,drama romance,6.6,5752,james foley niall leonard dakota johnson jamie dornan kim basinger eric johnson rita ora luke grimes victor rasuk jennifer ehle marcia gay harden drama romance
the 15:17 to paris,clint eastwood dorothy blyskal anthony sadler alek skarlatos spencer stone judy greer jenna fischer ray corasani,history drama thriller,5.4,1183,clint eastwood dorothy blyskal anthony sadler alek skarlatos spencer stone judy greer jenna fischer ray corasani history drama thriller
la boda de valentina,marco polo constandse omar chaparro marimar vega ryan carnes,comedy,5.8,12,marco polo constandse omar chaparro marimar vega ryan carnes comedy
kri,surendra poudel anmol k c aditi budhathoki anoop bikram shahi,,0,0,surendra poudel anmol k c aditi budhathoki anoop bikram shahi 
permission,brian crano rebecca hall dan stevens morgan spector david joseph craig gina gershon jason sudeikis,comedy romance drama,5.1,109,brian crano rebecca hall dan stevens morgan spector david joseph craig gina gershon jason sudeikis comedy romance drama
monster family,holger tappe david safier catharine junk emily watson jason isaacs nick frost jessica brown findlay celia imrie catherine tate,,0,0,holger tappe david safier catharine junk emily watson jason isaacs nick frost jessica brown findlay celia imrie catherine tate 
golden exits,alex ross perry emily browning adam horowitz mary louise parker jason schwartzman chlo sevigny analeigh tipton,drama,6.1,38,alex ross perry emily browning adam horowitz mary louise parker jason schwartzman chlo sevigny analeigh tipton drama
black panther,ryan coogler joe robert cole chadwick boseman michael b jordan lupita nyong o danai gurira martin freeman daniel kaluuya letitia wright winston duke angela bassett forest whitaker andy serkis,action adventure fantasy science fiction,7.4,16468,ryan coogler joe robert cole chadwick boseman michael b jordan lupita nyong o danai gurira martin freeman daniel kaluuya letitia wright winston duke angela bassett forest whitaker andy serkis action adventure fantasy science fiction
early man,nick park mark burton john o farrell eddie redmayne tom hiddleston maisie williams timothy spall,family comedy animation adventure,6.1,522,nick park mark burton john o farrell eddie redmayne tom hiddleston maisie williams timothy spall family comedy animation adventure
loveless,andrey zvyagintsev oleg negin andrey zvyagintsev maryana spivak alexei rozin matvey novikov marina vasilyeva andris kei s,drama,6.4,17,andrey zvyagintsev oleg negin andrey zvyagintsev maryana spivak alexei rozin matvey novikov marina vasilyeva andris kei s drama
